DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200348;Franzensbrücke;Wien;49000001;48.2138148;16.3915231
60200349;Franzosenweg;Wien;49000001;48.1401527;16.3827914
60200350;Forchheimergasse;Wien;49000001;48.1409559;16.3078091
60200351;Freesienweg;Wien;49000001;48.2044819;16.2428968
60200352;Freiheitsplatz;Wien;49000001;48.3014339;16.4162447
60200353;Freihofsiedlung;Wien;49000001;48.2425273;16.4502729
60200354;Kraftwerk Freudenau;Wien;49000001;48.1744241;16.4791357
60200355;Freyenthurmgasse;Wien;49000001;48.2054877;16.2567578
60200357;Friedensbrücke;Wien;49000001;48.2270301;16.364879
60200358;Baumgarten;Wien;49000001;48.1990633;16.2714902
60200359;Friedensgasse;Wien;49000001;48.2032545;16.4024645
60200360;Mariabrunn Kirche;Wien;49000001;48.2077627;16.2310031
60200361;Friedjunggasse;Wien;49000001;48.16503;16.4190385
60200362;Obkirchergasse;Wien;49000001;48.2457698;16.3419989
60200363;Friedrich-Engels-Platz;Wien;49000001;48.2442742;16.3797282
60200364;Friedstraße;Wien;49000001;48.2454408;16.4046385
60200365;Frödenplatz;Wien;49000001;48.1553047;16.3586537
60200366;Frömmlgasse;Wien;49000001;48.2562495;16.3921249
60200367;Fröschelgasse;Wien;49000001;48.251973;16.3209514
60200368;Flurschützstraße/Längenfeldgasse;Wien;49000001;48.1793541;16.3400676
60200369;Fultonstraße;Wien;49000001;48.253241;16.4145469
60200370;Funkengerngasse;Wien;49000001;48.2153951;16.2936516
60200371;Seegasse;Wien;49000001;48.2229725;16.3614115
60200372;Ottakringer Friedhof;Wien;49000001;48.2140782;16.3015208
60200373;Kaltenleutgebner Straße 10/63;Wien;49000001;48.1318256;16.2463194
60200374;Kaltenleutgebner Straße 137;Wien;49000001;48.1291215;16.2329075
60200375;Salvigasse;Wien;49000001;48.2964439;16.4335013
60200376;Gatterburggasse;Wien;49000001;48.2395898;16.3491405
60200377;Gattergasse;Wien;49000001;48.1608417;16.422461
60200378;Gatterhölzl;Wien;49000001;48.1758798;16.3187595
60200379;Gaudenzdorfer Gürtel;Wien;49000001;48.1872423;16.3430949
60200380;Gaußplatz;Wien;49000001;48.226282;16.3699096
60200381;Gaßmannstraße;Wien;49000001;48.1742623;16.3130642
60200382;Geiereckstraße;Wien;49000001;48.1750351;16.3996259
60200383;Geistingergasse;Wien;49000001;48.2455365;16.3628129
